filename,manuscript,prayer,work,language,status,wordcount
GKS08-3423_202v.org,GKS 3423 8vo,Seven Words of Mary under the Cross,,Low German,,176
NKS08-0045_194r.org,NKS 45 8vo,A Prayer to St. Antonius,ANTONIUS,gml,transcribed,167
Thott04-0553_021r.org,Thott 553 4to,A prayer to Christ,183,da,proofread,119
Thott04-0553_020v.org,Thott 553 4to,Ave Maria lilia,AVE_MARIA_LILIA,da,proofread,38
AM12-0417_073v.org,AM12-0417,Seven Penitential Psalms,PENITENTIAL_PSALMS,gml,Transcribed,1645
UUB-C496_001v.org,C 496,A prayer to Christ's body,,gml,transcribed,53
Beinecke-0218_127r.org,Beinecke Library MS 218,Golden Coronation Prayer,KRONGEBET,gml,Transcribed,1004
AM08-0075_022v-4.org,AM 75 8vo,A morning prayer,,Danish,proofread,180
AM08-0079Ieta_001r.org,AM 79 I η 8vo,A prayer for Christ's passion,,Danish,Transcribed,158
AM08-0073_228r.org,AM 73 8vo,Adoro te (St. Gregory),,gml,transcribed,386
NKS08-0045_176r.org,NKS 45 8vo,O Bone Jesu,O_BONE_JESU,gml,begun,92
AM08-0073_044r.org,AM08-0073,Hours of the Virgin (Matins),HOURS_VIRGIN.MATINS,gml,Transcribed,1653
Holm-A-0042_051v.org,A 42,A Prayer to the Cross,MDB1,da,Proofread,251
NKS08-0045_120v.org,NKS 45 8vo,Confessional formula,CONFESSION,da,transcribed,841
AM08-0073_013r.org,AM 73 8vo,Seven Penitential Psalms,,gml,transcribed,4211
UUB-C496_095r.org,UUB C 496,Das goldene Krongebet,KRONGEBET,gml,begun,268
AM04-0789_002v.org,AM 789 4to,Five sorrows of the Virgin,MARY_SORROWS,Danish,Proofread,323
Thott04-0553_125v.org,Thott 553 4to,The Golden Crown Prayer,KRONGEBET,da,begun,1643
UUB-C496_001r.org,C 496,A prayer of confession,,gml,transcribed,186
AM08-0073_087r.org,,Magnificat,MAGNIFICAT,gml,transcribed,164
Thott04-0553_021v.org,Thott 553 4to,A prayer to the five wounds of Christ,WOUNDS 185,da,proofread,119
Kalmar-0033_037v.org,Kalmar 33,Magnificat,MAGNIFICAT,la,proofread,124
AM08-0075_063r.org,AM 75 8vo,Magnificat,MAGNIFICAT,da,transcribed,233
AM08-0073_136v.org,AM 738vo,Credo,Credo,Low German,transcribed,116
Lund-0035_064v.org,Mh 35,Golden Coronation Prayer of Mary's Ten Joys,KRONGEBET,da,proofread,1358
Holm-A-0042_095v.org,A 42,Golden Coronation Prayer of Mary's Ten Joys,KRONGEBET,da,Proofread,1114
AM08-0073_080r.org,AM08-0073,Hours of the Virgin (Nones),HOURS_VIRGIN.NONES,gml,Transcribed,449
Lund-0035_038v.org,Mh 35,A prayer to the five Wounds of Christ (in verse),MDB81 WOUNDS,da,proofread,307
AM08-0070_247r_m.org,AM08-0070,Virgo resurgentis,VIRGO_RESURGENTIS,da,Proofread,12
AM08-0073_055r.org,AM 73 8vo,Te Deum,TE_DEUM,gml,transcribed,417
AM08-0073_054v.org,AM08-0073,Hours of the Virgin (Lauds),HOURS_VIRGIN.LAUDS,gml,Transcribed,1495
AM12-0421_030r.org,AM 421 12mo,Stabat Mater,STABAT_MATER,da,proofread,387
Holm-A-0029_145v.org,A 29,Three prayers against temptation,MDB4,sv,proofread,107
AM12-0420_026r.org,AM 420 12mo,Golden Coronation Prayer of Mary's Ten Joys,KRONGEBET,da,,836
GKS08-3423_111r2.org,GKS 3423 8vo,Veni Redemptor Gentium (with meditation),VENI_REDEMPTOR,gml,transcribed,847
AM08-0072_126r.org,AM 72 8vo,A prayer to St. Barbara,BARBARA 1075,da,Transcribed,196
AM08-0073_074v.org,AM 73 8vo,Hours of the Virgin (Terce),HOURS_VIRGIN.terce,gml,transcribed,461
AM08-0075_009r.org,AM 75 8vo,A morning prayer,MDB393,da,proofread,148
AM08-0070_247r.org,AM08-0070,Regina Cœli,REGINA_COELI,da,Transcribed,51
GKS08-3487_001r.org,GKS 3487 8vo,Confession and Creed,CREDO CONFESSIO,gml,Transcribed,1765
GKS08-3487_104v.org,GKS 3487 4to,Prayer to the holy Cross,CROSS MDB1 MDB69,Low German,Transcribed,726
AM04-0782_091r.org,AM 782 4to,A Prayer for Every Day in Lent,,gml,Transcribed,503
AM04-0784_080r.org,AM 784 4to,First Sunday of Advent,ADVENT_1,Danish,transcribed,665
AM08-0076_113r.org,AM 76 8vo,Seven Penitential Psalms,PENITENTIAL_PSALMS,da,begun,31
Lund-0035_023v.org,Mh 35,Magnificat,MAGNIFICAT,da,proofread,172
AM08-0072_127r.org,AM 72 8vo,A prayer to the Virgin Mary,1076,da,Transcribed,318
UBB-C496_019v.org,,Prayers for the entire day,,Low German,,559
Kalmar-0033_139v.org,Kalmar 33,Name prayer,,da,,65
NKS08-0045_166r.org,NKS 45 8vo,A Prayer to St Erasmus,ERASMUS,gml,begun,153
GKS04-1614_001r.org,GKS 1614 8vo,Prayer to the Holy Spirit,,da,Transcribed,33
AM04-0789_005r.org,AM 789 4to,Golden Crown Prayer of Mary (Rubric),KRONGEBET.rubric,gml,transcribed,175
AM12-0417_063r.org,AM12-0417,Hours of St. Anne,HOURS_ANNE,gml,Transcribed,1114
